JD Mag MagErr Instrument Filter Name MJD Survey Name_upper
2453705.55 15.927 0.024 Swope1 J SN2005hk 53705.049999999814 CSP SN2005HK
2453710.61 16.105 0.024 Swope1 J SN2005hk 53710.10999999987 CSP SN2005HK
2453710.62 16.065 0.022 Swope1 J SN2005hk 53710.12000000011 CSP SN2005HK
2453717.6 16.398 0.026 Swope1 J SN2005hk 53717.10000000009 CSP SN2005HK
2453717.61 16.464 0.029 Swope1 J SN2005hk 53717.10999999987 CSP SN2005HK
2453719.61 16.566 0.035 Swope1 J SN2005hk 53719.10999999987 CSP SN2005HK
2453719.63 16.561 0.033 Swope1 J SN2005hk 53719.12999999989 CSP SN2005HK
2453722.55 16.693 0.029 duPont J SN2005hk 53722.049999999814 CSP SN2005HK
2453722.56 16.699 0.03 duPont J SN2005hk 53722.060000000056 CSP SN2005HK
2453723.54 16.67 0.05 Swope1 J SN2005hk 53723.04000000004 CSP SN2005HK
2453727.57 16.938 0.046 Swope1 J SN2005hk 53727.06999999983 CSP SN2005HK
2453727.58 16.983 0.055 Swope1 J SN2005hk 53727.080000000075 CSP SN2005HK
2453731.56 17.19 0.068 Swope1 J SN2005hk 53731.060000000056 CSP SN2005HK
2453731.58 17.114 0.05 Swope1 J SN2005hk 53731.080000000075 CSP SN2005HK
2453743.55 17.581 0.035 duPont J SN2005hk 53743.049999999814 CSP SN2005HK
2453743.57 17.599 0.036 duPont J SN2005hk 53743.06999999983 CSP SN2005HK
2453756.56 17.866 0.06 duPont J SN2005hk 53756.060000000056 CSP SN2005HK
2453756.57 18.093 0.065 duPont J SN2005hk 53756.06999999983 CSP SN2005HK
2453676.5 16.887 0.067 Swope1 H SN2005hk 53676.0 CSP SN2005HK
2453676.51 16.959 0.055 Swope1 H SN2005hk 53676.00999999978 CSP SN2005HK
2453677.55 16.762 0.048 Swope1 H SN2005hk 53677.049999999814 CSP SN2005HK
2453677.58 16.747 0.052 Swope1 H SN2005hk 53677.080000000075 CSP SN2005HK
2453678.53 16.524 0.06 Swope1 H SN2005hk 53678.029999999795 CSP SN2005HK
2453678.54 16.648 0.067 Swope1 H SN2005hk 53678.04000000004 CSP SN2005HK
2453680.53 16.363 0.062 Swope1 H SN2005hk 53680.029999999795 CSP SN2005HK
2453680.54 16.407 0.054 Swope1 H SN2005hk 53680.04000000004 CSP SN2005HK
2453681.58 16.271 0.032 duPont H SN2005hk 53681.080000000075 CSP SN2005HK
2453685.61 16.055 0.036 Swope1 H SN2005hk 53685.10999999987 CSP SN2005HK
2453685.62 16.107 0.039 Swope1 H SN2005hk 53685.12000000011 CSP SN2005HK
